,MEASUREMENT_TIME,ID_INPUT,VALUE,PRIVATE_DATA,Time_Used
1171,2023-01-24 16:51:32.952,4,Teams.exe,0,18.133
1172,2023-01-24 16:51:51.085,4,devenv.exe,0,121.717
1173,2023-01-24 16:53:52.802,4,Teams.exe,0,40.344
1174,2023-01-24 16:54:33.146,4,devenv.exe,0,168.023
1175,2023-01-24 16:57:21.169,4,Teams.exe,0,26.197
1176,2023-01-24 16:57:47.366,4,devenv.exe,0,700.326
1177,2023-01-24 17:09:27.692,4,Teams.exe,0,2.012
1178,2023-01-24 17:09:29.704,4,VsDebugConsole.exe,0,3.027
1179,2023-01-24 17:09:32.731,4,Teams.exe,0,3.029
1180,2023-01-24 17:09:35.760,4,explorer.exe,0,9.065
1181,2023-01-24 17:09:44.825,4,chrome.exe,0,3493.001
1182,2023-01-24 18:07:57.826,4,Zoom.exe,0,1.012
1183,2023-01-24 18:07:58.838,4,Zoom.exe,0,42.306
1184,2023-01-24 18:08:41.144,4,Zoom.exe,0,2.016
1185,2023-01-24 18:08:43.160,4,Zoom.exe,0,68.622
1186,2023-01-24 18:09:51.782,4,chrome.exe,0,38.332
1187,2023-01-24 18:10:30.114,4,explorer.exe,0,1.003
1188,2023-01-24 18:10:31.117,4,Zoom.exe,0,115.992
1189,2023-01-24 18:12:27.109,4,chrome.exe,0,52.432
1190,2023-01-24 18:13:19.541,4,Zoom.exe,0,4.035
1191,2023-01-24 18:13:23.576,4,chrome.exe,0,41.362
1192,2023-01-24 18:14:04.938,4,Zoom.exe,0,17.191
1193,2023-01-24 18:14:22.129,4,chrome.exe,0,17.117
1194,2023-01-24 18:14:39.246,4,Zoom.exe,0,5.039
1195,2023-01-24 18:14:44.285,4,chrome.exe,0,15.133
1196,2023-01-24 18:14:59.418,4,Zoom.exe,0,54.386
1197,2023-01-24 18:15:53.804,4,chrome.exe,0,5.039
1198,2023-01-24 18:15:58.843,4,Zoom.exe,0,5.043
1199,2023-01-24 18:16:03.886,4,chrome.exe,0,4.028
1200,2023-01-24 18:16:07.914,4,Zoom.exe,0,18.11
1201,2023-01-24 18:16:26.024,4,chrome.exe,0,223.695
1202,2023-01-24 18:20:09.719,4,Zoom.exe,0,17.132
