,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total_Usage,Application
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0189999999999997,0.0,197.559,3.024,0.0,0.0,0.0,0.0,9.047,0.0,0.0,0.0,212.649,1
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,579.8739999999999,677.6809999999999,0.0,0.0,27.253999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.8090000000002,11
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.223,0.0,6.0600000000000005,3.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.055,0.0,0.0,26.36,12
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013,0.0,0.0,0.0,0.0,3.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,22
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.014,577.9240000000001,217.76999999999998,1094.853,159.892,119.21799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.306,82.46900000000001,0.0,0.0,2301.445999999999,5
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.24,0.0,336.129,11.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.54600000000005,3
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.93,0.0,0.0,107.93,13
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.19,21
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.355,33
